album_id,genre,song_name
10100191,"포크/블루스, 인디음악",썸 탈꺼야
2659810,랩/힙합,또 하루 (Feat. 개코)
814562,댄스,Shock
2657764,"국내드라마, 발라드",함께
10112486,"댄스, R&B/Soul, 발라드, 랩/힙합",피카부 (Peek-A-Boo)
2213351,"국내드라마, 발라드",눈물이 맘을 훔쳐서
882152,"발라드, 댄스",이별이 온다
10294763,발라드,솔직하게 말해서 나
10237420,발라드,그때가 좋았어
11011565,"댄스, R&B/Soul",Hype boy
2031086,발라드,죽고 싶단 말 밖에
2278895,랩/힙합,연결고리#힙합
2072048,"발라드, 록/메탈",지독하게
10147314,R&B/Soul,꽃 길
2692594,"댄스, 발라드, R&B/Soul",I Like That
2182643,"록/메탈, 댄스, 발라드, 일렉트로니카",Bad Girls
843252,"국내드라마, 발라드, 댄스, 록/메탈",너 아니면 안돼
2149881,"댄스, 발라드",립스틱 (LIPSTICK)
10909179,댄스,LOVE DIVE
2043387,"발라드, 댄스",Trouble Maker
1312258,"댄스, 발라드",Hands Up
744962,댄스,우리 사랑하게 됐어요.
2674195,댄스,같은 곳에서
2307604,랩/힙합,슈퍼스타 (Prod. by D.O)
10124822,댄스,뿜뿜
10145303,"발라드, 댄스, R&B/Soul",별이 빛나는 밤
2301463,"댄스, 랩/힙합, 발라드",미쳐
880151,"댄스, 발라드",시간아 멈춰라
2328091,댄스,PARTY
2147867,"랩/힙합, 댄스, 발라드",크레용 (Crayon)
10327581,"인디음악, 록/메탈",워커홀릭
10880544,발라드,듣고 싶을까
10309152,"국내드라마, 발라드",나의 어깨에 기대어요
10972706,"댄스, 발라드",도깨비불 (Illusion)
10001952,발라드,숨
10294820,랩/힙합,19금 BAND
10434085,발라드,취했나봐
2672163,"발라드, 국내드라마",You Are My Everything
2674213,록/메탈,사랑에 빠졌죠 (당신만이)
2172455,랩/힙합,눈물샤워 (Feat. 에일리)
943653,댄스,고백하던 날
10479150,댄스,Dynamite
10372655,"국내드라마, 발라드",너를 사랑하고 있어
10305070,"발라드, 인디음악",인사
2696751,"댄스, 발라드",너 그리고 나 (NAVILLERA)
2172462,록/메탈,I'm Sorry
2211378,발라드,촌스럽게 왜 이래 (You Don't Know Love)
2123313,댄스,나쁜놈 (Feat. 소야)
10475061,댄스,When We Disco (Duet with 선미)
2131509,댄스,Loving U (러빙유)
1211952,댄스,반짝반짝
1168952,"발라드, 댄스",내꺼중에 최고
10880569,"국내드라마, 랩/힙합",존재만으로
10153531,랩/힙합,바코드 (Prod. GroovyRoom)
968252,"랩/힙합, 댄스",19금 나 이런사람이야
814651,랩/힙합,주변인
10085951,"댄스, 발라드",에너제틱 (Energetic)
1324851,"댄스, 발라드",Bubble Pop!
2195252,랩/힙합,아는사람 얘기
10022709,"랩/힙합, 발라드, 댄스, 록/메탈, 포크/블루스",에라 모르겠다
2117429,"댄스, 발라드",Twinkle
10264375,록/메탈,노래방에서
911358,발라드,잔소리 (With 2AM 슬옹)
10467129,댄스,그 여름을 틀어줘
2008890,발라드,안녕이라고 말하지마
911359,랩/힙합,땡땡땡
966451,"댄스, 발라드",Lucifer
816957,발라드,배운게 사랑이라
2703168,랩/힙합,휘파람
2021189,"발라드, 댄스",정류장
10057543,"R&B/Soul, 발라드, 포크/블루스, 재즈, 애시드/퓨전/팝",Lonely (Feat. 태연)
1294153,발라드,살다가 한번쯤
10241866,랩/힙합,띵 (Prod. By 기리보이)
2176844,발라드,거북이
10405712,"국내드라마, 발라드",좋은 사람 있으면 소개시켜줘
10035026,"R&B/Soul, 댄스, 발라드",Rookie
10035027,R&B/Soul,노래
2058067,"댄스, 발라드",Lovey-Dovey
10559322,발라드,고백 (바른연애 길잡이 X 허각)
2320218,"국내드라마, 발라드, 록/메탈, 댄스, 포크/블루스",사랑의 시작은 고백에서부터
2150236,발라드,아프다
10610525,발라드,다정히 내 이름을 부르면
960351,"발라드, 댄스",꺼져 줄게 잘 살아 (Feat. 용준형)
10100577,R&B/Soul,밤이 되니까
10057570,"인디음악, 록/메탈",TOMBOY
1271651,댄스,이러쿵 저러쿵
2670437,댄스,야 하고 싶어 (Feat. 시우민 of EXO)
2195303,"댄스, 발라드",으르렁 (Growl)
2152296,발라드,이러지마 제발 (Please Don't...)
10262378,"R&B/Soul, 포크/블루스, 재즈, 애시드/퓨전/팝",그건 아마 우리의 잘못은 아닐 거야
