,year,rank,song_name,artist,likes,album_id,song_id
519,2017년,20,매일 듣는 노래 (A Daily Song),황치열,"175,883",10070673,30467550
520,2017년,21,에라 모르겠다,BIGBANG (빅뱅),"181,370",10022709,30147445
521,2017년,22,널 너무 모르고,헤이즈 (Heize),"182,329",10074454,30492276
522,2017년,23,불장난,BLACKPINK,"203,195",10011491,30069773
523,2017년,24,빨간 맛 (Red Flavor),Red Velvet (레드벨벳),"235,448",10077879,30512671
524,2017년,25,Stay With Me,찬열 (CHANYEOL),"218,089",10020654,30132687
525,2017년,26,New Face,싸이 (PSY),"98,791",10060647,30403590
526,2017년,27,TT,TWICE (트와이스),"187,025",10008861,30054344
527,2017년,28,처음부터 너와 나,볼빨간사춘기,"183,044",10062351,30414090
528,2017년,29,시차 (We Are) (Feat. 로꼬 & GRAY),우원재,"351,642",10093389,30613202
529,2017년,30,Rookie,Red Velvet (레드벨벳),"135,211",10035026,30227054
530,2017년,31,오빠야,신현희와김루트,"133,558",2306170,5605860
531,2017년,32,SIGNAL,TWICE (트와이스),"124,417",10062172,30413326
532,2017년,33,Decalcomanie (데칼코마니),마마무 (Mamamoo),"153,779",10012900,30079086
533,2017년,34,그대라는 사치,한동근,"203,645",2706226,9614761
534,2017년,35,"무제(無題) (Untitled, 2014)",G-DRAGON,"258,852",10069644,30461396
535,2017년,36,부담이 돼 (Feat. 휘인 Of 마마무),정키,"132,879",10043982,30290011
536,2017년,37,BLUE MOON (Prod. GroovyRoom),효린,"199,495",10055259,30367365
537,2017년,38,가시나,선미,"163,330",10089089,30587846
538,2017년,39,"All I Wanna Do (K) (Feat. Hoody, Loco)",박재범,"240,043",10008163,30049271
539,2017년,40,어디에도,엠씨더맥스 (M.C the MAX),"245,334",2664299,8033528
540,2017년,41,돌아오지마 (Feat. 용준형 Of 비스트),헤이즈 (Heize),"189,218",2679308,8143111
541,2017년,42,I LUV IT,싸이 (PSY),"79,178",10060647,30403589
542,2017년,43,심술,볼빨간사춘기,"153,093",2680986,8155478
543,2017년,44,피 땀 눈물,방탄소년단,"275,931",10004707,30029173
544,2017년,45,D (half moon) (Feat. 개코),DEAN,"259,276",2674623,8109412
545,2017년,46,썸 탈꺼야,볼빨간사춘기,"217,689",10100191,30657307
546,2017년,47,얼굴 찌푸리지 말아요,하이라이트 (Highlight),"127,536",10044814,30310862
547,2017년,48,너였다면,정승환,"240,920",2687963,8203900
548,2017년,49,I Miss You,소유 (SOYOU),"133,648",10027253,30177818
549,2017년,50,이 소설의 끝을 다시 써보려 해,한동근,"238,592",2284064,5398990
550,2017년,51,나로 말할 것 같으면 (Yes I am),마마무 (Mamamoo),"116,369",10073791,30488202
551,2017년,52,Fine,태연 (TAEYEON),"197,241",10040265,30278209
552,2017년,53,all of my life,박원,"249,742",10083290,30550388
553,2017년,54,당신의 밤 (Feat. 오혁),황광희 X 개코,"120,836",10027428,30179089
554,2017년,55,아름다워,창모 (CHANGMO),"214,677",2698920,8276709
555,2017년,56,에너제틱 (Energetic),Wanna One (워너원),"290,816",10085951,30568338
556,2017년,57,YESTERDAY,블락비 (Block B),"131,156",10036123,30232778
557,2017년,58,이쁘다니까,에디킴,"104,012",10025845,30169608
558,2017년,59,미치고 싶다,한동근,"79,674",10059997,30399360
559,2017년,60,Artist,지코 (ZICO),"138,511",10078915,30519033
560,2017년,61,노래,Zion.T,"89,293",10035027,30227061
561,2017년,62,저 별,헤이즈 (Heize),"162,421",10020656,30132701
562,2017년,63,내가 저지른 사랑,임창정,"238,962",2708957,9631530
563,2017년,64,맞지?,언니쓰,"95,170",10061398,30408193
564,2017년,65,TOMBOY,혁오 (HYUKOH),"220,010",10057570,30383949
565,2017년,66,19금 마에스트로 (Maestro),창모 (CHANGMO),"130,166",2698920,8276708
566,2017년,67,가을 아침,아이유,"299,623",10096855,30636089
567,2017년,68,You(=I),볼빨간사춘기,"126,943",2707131,9620471
568,2017년,69,널 사랑하지 않아,어반자카파,"211,012",2687420,8199190
569,2017년,70,바람이 불었으면 좋겠어,길구봉구,"128,266",2224353,4383833
570,2017년,71,우리집을 못 찾겠군요 (Feat. 볼빨간사춘기),매드클라운,"111,538",10035799,30230986
571,2017년,72,숨,박효신,"219,876",10001952,30011624
572,2017년,73,비가와 (Rain),소유 (SOYOU),"130,727",10038305,30247520
573,2017년,74,CHEER UP,TWICE (트와이스),"212,513",2681333,8158031
574,2017년,75,N분의1 (Feat. 다이나믹듀오),넉살,"93,342",10085618,30566061
575,2017년,76,연애소설 (Feat. 아이유),에픽하이 (EPIK HIGH),"178,079",10105030,30688500
576,2017년,77,소나기,아이오아이 (I.O.I),"194,951",10032040,30208070
577,2017년,78,Who Are You,샘김 (Sam Kim),"107,641",10025804,30169383
578,2017년,79,Ko Ko Bop,EXO,"226,239",10080589,30529996
579,2017년,80,이 바보야,정승환,"136,096",10018979,30120986
580,2017년,81,첫 눈,정준일,"110,936",10027400,30178900
581,2017년,82,나의 사춘기에게,볼빨간사춘기,"316,359",10100191,30657311
582,2017년,83,기다렸다 가,다이나믹 듀오,"104,054",10033099,30215199
583,2017년,84,She's a Baby,지코 (ZICO),"80,624",10053651,30355842
584,2017년,85,LAST DANCE,BIGBANG (빅뱅),"176,683",10022709,30147446
585,2017년,86,사랑하지 않은 것처럼,버즈,"136,407",10083276,30550293
586,2017년,87,MOVIE,비투비,"138,932",10041603,30286429
587,2017년,88,그리워하다,비투비,"302,082",10102658,30672529
588,2017년,89,DNA,방탄소년단,"375,070",10097112,30637982
589,2017년,90,러시안 룰렛 (Russian Roulette),Red Velvet (레드벨벳),"178,168",2709585,9634954
590,2017년,91,NEVER,국민의 아들,"154,435",10068359,30453635
